"Country_or_Region","Remove"
"Southern Europe",TRUE
"Spain",FALSE
"Sri Lanka",FALSE
"State of Palestine",TRUE
"Sub-Saharan Africa",TRUE
"Sudan",FALSE
"Suriname",FALSE
"Sweden",FALSE
"Switzerland",FALSE
"Syrian Arab Republic",FALSE
"Tajikistan",FALSE
"Thailand",FALSE
"Timor-Leste",FALSE
"Togo",FALSE
"Tokelau",TRUE
"Tonga",FALSE
"Trinidad and Tobago",FALSE
"Tunisia",FALSE
"Türkiye",FALSE
"Turkmenistan",FALSE
"Turks and Caicos Islands",TRUE
"Tuvalu",FALSE
"Uganda",FALSE
"Ukraine",FALSE
"United Arab Emirates",FALSE
"United Kingdom",FALSE
"United Republic of Tanzania",FALSE
"United States of America",FALSE
"United States Virgin Islands",TRUE
"Upper-middle-income countries",TRUE
"Uruguay",FALSE
"Uzbekistan",FALSE
"Vanuatu",FALSE
"Venezuela (Bolivarian Republic of)",FALSE
"Viet Nam",FALSE
"Wallis and Futuna Islands",TRUE
"Western Africa",TRUE
"Western Asia",TRUE
"Western Europe",TRUE
"Western Sahara",TRUE
"World",TRUE
"Yemen",FALSE
"Zambia",FALSE
"Zimbabwe",FALSE
